date,index_value
1984-01,62.1
1984-02,62.3
1984-03,62.7
1984-04,62.8
1984-05,63.0
1984-06,63.1
1984-07,63.4
1984-08,63.5
1984-09,63.7
1984-10,63.8
1984-11,64.0
1984-12,64.0
1985-01,64.0
1985-02,64.4
1985-03,64.6
1985-04,64.8
1985-05,65.0
1985-06,65.1
1985-07,65.3
1985-08,65.6
1985-09,65.8
1985-10,66.0
1985-11,66.4
1985-12,66.4
1986-01,66.3
1986-02,66.8
1986-03,67.0
1986-04,67.3
1986-05,67.8
1986-06,67.9
1986-07,68.4
1986-08,68.8
1986-09,68.8
1986-10,69.1
1986-11,69.4
1986-12,69.6
1987-01,69.5
1987-02,69.8
1987-03,70.1
1987-04,70.4
1987-05,70.6
1987-06,70.7
1987-07,71.3
1987-08,71.5
1987-09,71.7
1987-10,72.0
1987-11,72.3
1987-12,72.3
1988-01,72.0
1988-02,72.6
1988-03,73.1
1988-04,73.3
1988-05,73.4
1988-06,73.4
1988-07,73.9
1988-08,74.2
1988-09,74.3
1988-10,74.8
1988-11,75.3
1988-12,75.4
1989-01,75.6
1989-02,76.1
1989-03,76.6
1989-04,76.8
1989-05,77.0
1989-06,77.2
1989-07,77.6
1989-08,77.8
1989-09,78.0
1989-10,78.3
1989-11,78.7
1989-12,78.8
1990-01,79.0
1990-02,79.4
1990-03,79.7
1990-04,79.8
1990-05,80.0
1990-06,80.2
1990-07,80.5
1990-08,80.8
1990-09,81.0
1990-10,81.5
1990-11,81.8
1990-12,81.8
1991-01,82.6
1991-02,82.9
1991-03,83.1
1991-04,83.0
1991-05,83.1
1991-06,83.2
1991-07,83.3
1991-08,83.5
1991-09,83.6
1991-10,83.8
1991-11,84.1
1991-12,83.8
1992-01,83.9
1992-02,84.2
1992-03,84.5
1992-04,84.5
1992-05,84.5
1992-06,84.5
1992-07,84.7
1992-08,84.8
1992-09,84.8
1992-10,85.0
1992-11,85.4
1992-12,85.3
1993-01,85.6
1993-02,85.9
1993-03,86.0
1993-04,85.9
1993-05,85.8
1993-06,85.7
1993-07,86.0
1993-08,86.2
1993-09,86.5
1993-10,86.5
1993-11,87.1
1993-12,86.9
1994-01,86.8
1994-02,87.4
1994-03,87.4
1994-04,87.4
1994-05,87.2
1994-06,87.3
1994-07,87.5
1994-08,87.6
1994-09,87.9
1994-10,87.8
1994-11,88.3
1994-12,88.5
1995-01,88.7
1995-02,89.0
1995-03,89.2
1995-04,89.2
1995-05,89.4
1995-06,89.4
1995-07,89.7
1995-08,89.9
1995-09,90.1
1995-10,90.0
1995-11,90.3
1995-12,90.0
1996-01,90.1
1996-02,90.3
1996-03,90.5
1996-04,90.6
1996-05,90.8
1996-06,90.6
1996-07,91.0
1996-08,91.1
1996-09,91.2
1996-10,91.2
1996-11,91.6
1996-12,91.6
1997-01,91.6
1997-02,91.7
1997-03,92.1
1997-04,92.2
1997-05,92.2
1997-06,92.5
1997-07,92.4
1997-08,92.5
1997-09,92.6
1997-10,92.7
1997-11,92.5
1997-12,92.3
1998-01,92.6
1998-02,93.0
1998-03,93.2
1998-04,93.2
1998-05,93.4
1998-06,93.3
1998-07,93.5
1998-08,93.7
1998-09,93.7
1998-10,93.9
1998-11,93.7
1998-12,93.5
1999-01,93.5
1999-02,93.8
1999-03,94.2
1999-04,94.5
1999-05,94.7
1999-06,94.8
1999-07,94.9
1999-08,95.1
1999-09,95.5
1999-10,95.4
1999-11,95.2
1999-12,95.1
2000-01,94.9
2000-02,95.3
2000-03,95.7
2000-04,95.7
2000-05,96.0
2000-06,96.2
2000-07,96.4
2000-08,96.5
2000-09,96.7
2000-10,96.8
2000-11,96.9
2000-12,96.9
2001-01,96.7
2001-02,97.2
2001-03,97.3
2001-04,97.5
2001-05,97.8
2001-06,97.9
2001-07,98.3
2001-08,98.4
2001-09,98.6
2001-10,98.5
2001-11,98.2
2001-12,98.1
2002-01,98.0
2002-02,98.6
2002-03,99.0
2002-04,99.4
2002-05,99.8
2002-06,100.0
2002-07,100.4
2002-08,100.7
2002-09,100.8
2002-10,101.0
2002-11,101.2
2002-12,101.3
2003-01,101.3
2003-02,101.9
2003-03,102.1
2003-04,102.1
2003-05,102.3
2003-06,102.1
2003-07,102.2
2003-08,102.4
2003-09,102.7
2003-10,102.8
2003-11,103.0
2003-12,102.9
2004-01,102.8
2004-02,102.9
2004-03,103.2
2004-04,103.3
2004-05,103.5
2004-06,103.4
2004-07,103.6
2004-08,103.4
2004-09,103.7
2004-10,103.7
2004-11,104.2
2004-12,104.2
2005-01,103.9
2005-02,104.3
2005-03,104.7
2005-04,104.4
2005-05,104.7
2005-06,104.8
2005-07,104.7
2005-08,104.9
2005-09,105.3
2005-10,105.2
2005-11,105.7
2005-12,105.6
2006-01,105.4
2006-02,105.7
2006-03,106.2
2006-04,106.2
2006-05,106.6
2006-06,106.3
2006-07,106.7
2006-08,107.0
2006-09,107.6
2006-10,107.7
2006-11,107.9
2006-12,107.8
2007-01,107.8
2007-02,108.2
2007-03,108.7
2007-04,108.9
2007-05,109.2
2007-06,109.2
2007-07,109.3
2007-08,109.4
2007-09,109.9
2007-10,109.8
2007-11,109.8
2007-12,109.6
2008-01,109.8
2008-02,110.2
2008-03,110.4
2008-04,110.7
2008-05,111.1
2008-06,111.1
2008-07,111.2
2008-08,111.3
2008-09,111.7
2008-10,111.4
2008-11,112.2
2008-12,111.9
2009-01,111.1
2009-02,111.7
2009-03,112.0
2009-04,112.1
2009-05,112.5
2009-06,112.5
2009-07,112.4
2009-08,112.4
2009-09,112.7
2009-10,112.9
2009-11,113.1
2009-12,112.6
2010-01,112.5
2010-02,113.3
2010-03,113.0
2010-04,113.4
2010-05,113.7
2010-06,113.6
2010-07,113.2
2010-08,113.2
2010-09,113.6
2010-10,114.1
2010-11,114.1
2010-12,113.7
2011-01,113.5
2011-02,113.8
2011-03,114.5
2011-04,114.5
2011-05,115.1
2011-06,114.4
2011-07,114.4
2011-08,114.8
2011-09,115.6
2011-10,115.7
2011-11,115.8
2011-12,115.1
2012-01,115.2
2012-02,115.6
2012-03,116.1
2012-04,116.6
2012-05,116.7
2012-06,116.2
2012-07,115.8
2012-08,116.0
2012-09,116.4
2012-10,116.7
2012-11,116.7
2012-12,115.9
2013-01,115.8
2013-02,116.8
2013-03,117.1
2013-04,117.3
2013-05,117.4
2013-06,117.3
2013-07,117.1
2013-08,117.1
2013-09,117.5
2013-10,117.8
2013-11,117.5
2013-12,117.1
2014-01,117.3
2014-02,118.2
2014-03,118.6
2014-04,118.8
2014-05,119.1
2014-06,119.1
2014-07,118.9
2014-08,119.4
2014-09,119.7
2014-10,120.2
2014-11,119.8
2014-12,119.3
2015-01,119.5
2015-02,120.3
2015-03,121.0
2015-04,121.0
2015-05,121.3
2015-06,121.3
2015-07,121.3
2015-08,121.5
2015-09,121.9
2015-10,122.2
2015-11,121.9
2015-12,121.3
2016-01,121.6
2016-02,122.3
2016-03,123.1
2016-04,123.3
2016-05,123.8
2016-06,123.9
2016-07,123.7
2016-08,123.7
2016-09,124.2
2016-10,124.4
2016-11,123.9
2016-12,123.4
2017-01,124.2
2017-02,124.7
2017-03,125.1
2017-04,125.1
2017-05,125.4
2017-06,125.5
2017-07,125.5
2017-08,125.5
2017-09,125.7
2017-10,126.1
2017-11,126.1
2017-12,125.5
2018-01,126.1
2018-02,127.0
2018-03,127.5
2018-04,127.4
2018-05,127.5
2018-06,127.7
2018-07,128.4
2018-08,128.4
2018-09,128.0
2018-10,128.7
2018-11,128.3
2018-12,128.4
2019-01,128.5
2019-02,129.5
2019-03,129.9
2019-04,130.0
2019-05,130.6
2019-06,130.7
2019-07,131.2
2019-08,131.2
2019-09,130.7
2019-10,131.3
2019-11,130.9
2019-12,130.7
2020-01,130.9
2020-02,132.0
2020-03,132.1
2020-04,131.7
2020-05,131.4
2020-06,132.0
2020-07,131.8
2020-08,131.8
2020-09,131.8
